          19          12
          -2           0           0
     1     1  0.6212845218E-02  -0.000000000    
     1     2  0.6227520367E-02  -0.000000000    
     1     3  0.1085253772E-01  -0.000000000    
     1     4  0.1084905246E-01  -0.000000000    
     1     5  0.1968036059E-01  -0.000000000    
     1     6  0.1967863350E-01  -0.000000000    
     1     7  0.1415302462E-01  -0.000000000    
     1     8  0.1416019711E-01  -0.000000000    
     1     9  0.9633603480E-03  -0.000000000    
     1    10  0.9591305477E-03  -0.000000000    
     1    11  0.6448196158E-02  -0.000000000    
     1    12  0.6441946482E-02  -0.000000000    
     2     1  0.6198001337E-02  -0.000000000    
     2     2  0.6211469817E-02  -0.000000000    
     2     3  0.1083965531E-01  -0.000000000    
     2     4  0.1083516826E-01  -0.000000000    
     2     5  0.1966640747E-01  -0.000000000    
     2     6  0.1966539232E-01  -0.000000000    
     2     7  0.1414181179E-01  -0.000000000    
     2     8  0.1414900309E-01  -0.000000000    
     2     9  0.9582595351E-03  -0.000000000    
     2    10  0.9544508690E-03  -0.000000000    
     2    11  0.6435379861E-02  -0.000000000    
     2    12  0.6426815628E-02  -0.000000000    
     3     1  0.8977780426E-03  -0.000000000    
     3     2  0.9012996813E-03  -0.000000000    
     3     3  0.6341843242E-02  -0.000000000    
     3     4  0.6335240637E-02  -0.000000000    
     3     5  0.1407968988E-01  -0.000000000    
     3     6  0.1407978838E-01  -0.000000000    
     3     7  0.6431093639E-02  -0.000000000    
     3     8  0.6443354767E-02  -0.000000000    
     3     9  0.1012916622E-03  -0.000000000    
     3    10  0.1010321928E-03  -0.000000000    
     3    11  0.2418030531E-02  -0.000000000    
     3    12  0.2415490311E-02  -0.000000000    
     4     1  0.8990098792E-03  -0.000000000    
     4     2  0.9025858260E-03  -0.000000000    
     4     3  0.6345890808E-02  -0.000000000    
     4     4  0.6340846724E-02  -0.000000000    
     4     5  0.1408410832E-01  -0.000000000    
     4     6  0.1408492363E-01  -0.000000000    
     4     7  0.6437265128E-02  -0.000000000    
     4     8  0.6447620823E-02  -0.000000000    
     4     9  0.1013832651E-03  -0.000000000    
     4    10  0.1011006936E-03  -0.000000000    
     4    11  0.2420397834E-02  -0.000000000    
     4    12  0.2417876352E-02  -0.000000000    
     5     1  0.5893944389E-04  -0.000000000    
     5     2  0.5916791229E-04  -0.000000000    
     5     3  0.5451096078E-03  -0.000000000    
     5     4  0.5436773492E-03  -0.000000000    
     5     5  0.6355765137E-02  -0.000000000    
     5     6  0.6355067062E-02  -0.000000000    
     5     7  0.9560921041E-03  -0.000000000    
     5     8  0.9601501867E-03  -0.000000000    
     5     9  0.9470533993E-05  -0.000000000    
     5    10  0.9524646861E-05  -0.000000000    
     5    11  0.1012017898E-03  -0.000000000    
     5    12  0.1009119518E-03  -0.000000000    
     6     1  0.5896734204E-04  -0.000000000    
     6     2  0.5919000509E-04  -0.000000000    
     6     3  0.5453097151E-03  -0.000000000    
     6     4  0.5438840586E-03  -0.000000000    
     6     5  0.6355288532E-02  -0.000000000    
     6     6  0.6355017756E-02  -0.000000000    
     6     7  0.9556316684E-03  -0.000000000    
     6     8  0.9595393672E-03  -0.000000000    
     6     9  0.9513750691E-05  -0.000000000    
     6    10  0.9570538159E-05  -0.000000000    
     6    11  0.1012781296E-03  -0.000000000    
     6    12  0.1010116458E-03  -0.000000000    
     7     1  0.7394741868E-03  -0.000000000    
     7     2  0.7425831981E-03  -0.000000000    
     7     3  0.3024912653E-02  -0.000000000    
     7     4  0.3021681968E-02  -0.000000000    
     7     5  0.1316054078E-01  -0.000000000    
     7     6  0.1315997924E-01  -0.000000000    
     7     7  0.6211388827E-02  -0.000000000    
     7     8  0.6222801081E-02  -0.000000000    
     7     9  0.5919583926E-04  -0.000000000    
     7    10  0.5910467917E-04  -0.000000000    
     7    11  0.9023123449E-03  -0.000000000    
     7    12  0.8992216321E-03  -0.000000000    
     8     1  0.7379335731E-03  -0.000000000    
     8     2  0.7409525739E-03  -0.000000000    
     8     3  0.3021749215E-02  -0.000000000    
     8     4  0.3016081252E-02  -0.000000000    
     8     5  0.1315310793E-01  -0.000000000    
     8     6  0.1315290803E-01  -0.000000000    
     8     7  0.6202647359E-02  -0.000000000    
     8     8  0.6212847969E-02  -0.000000000    
     8     9  0.5906225632E-04  -0.000000000    
     8    10  0.5897441251E-04  -0.000000000    
     8    11  0.9008197017E-03  -0.000000000    
     8    12  0.8975204571E-03  -0.000000000    
     9     1  0.1314305057E-01  -0.000000000    
     9     2  0.1315450850E-01  -0.000000000    
     9     3  0.1750310013E-01  -0.000000000    
     9     4  0.1749924382E-01  -0.000000000    
     9     5  0.2979869958E-01  -0.000000000    
     9     6  0.2979766697E-01  -0.000000000    
     9     7  0.1965911393E-01  -0.000000000    
     9     8  0.1966996411E-01  -0.000000000    
     9     9  0.6354948763E-02  -0.000000000    
     9    10  0.6342961568E-02  -0.000000000    
     9    11  0.1407564525E-01  -0.000000000    
     9    12  0.1407209172E-01  -0.000000000    
    10     1  0.1315297012E-01  -0.000000000    
    10     2  0.1316416026E-01  -0.000000000    
    10     3  0.1751333582E-01  -0.000000000    
    10     4  0.1750901607E-01  -0.000000000    
    10     5  0.2982361505E-01  -0.000000000    
    10     6  0.2981885879E-01  -0.000000000    
    10     7  0.1967075330E-01  -0.000000000    
    10     8  0.1968084060E-01  -0.000000000    
    10     9  0.6367186447E-02  -0.000000000    
    10    10  0.6355600681E-02  -0.000000000    
    10    11  0.1408639852E-01  -0.000000000    
    10    12  0.1408203103E-01  -0.000000000    
    11     1  0.3016692791E-02  -0.000000000    
    11     2  0.3026671046E-02  -0.000000000    
    11     3  0.1103479426E-01  -0.000000000    
    11     4  0.1103031700E-01  -0.000000000    
    11     5  0.1750965240E-01  -0.000000000    
    11     6  0.1750957915E-01  -0.000000000    
    11     7  0.1084059599E-01  -0.000000000    
    11     8  0.1085143454E-01  -0.000000000    
    11     9  0.5462387684E-03  -0.000000000    
    11    10  0.5444081834E-03  -0.000000000    
    11    11  0.6341654933E-02  -0.000000000    
    11    12  0.6338487348E-02  -0.000000000    
    12     1  0.3015612761E-02  -0.000000000    
    12     2  0.3023136631E-02  -0.000000000    
    12     3  0.1103802609E-01  -0.000000000    
    12     4  0.1103245864E-01  -0.000000000    
    12     5  0.1750680460E-01  -0.000000000    
    12     6  0.1750717461E-01  -0.000000000    
    12     7  0.1083825207E-01  -0.000000000    
    12     8  0.1084801127E-01  -0.000000000    
    12     9  0.5454575352E-03  -0.000000000    
    12    10  0.5437360151E-03  -0.000000000    
    12    11  0.6342322967E-02  -0.000000000    
    12    12  0.6340784665E-02  -0.000000000    

          -2           1           0
     1     1  0.1121388220E-01  -0.000000000    
     1     2  0.1122438915E-01  -0.000000000    
     1     3  0.8580191763E-02  -0.000000000    
     1     4  0.8577862217E-02  -0.000000000    
     1     5  0.1803653212E-01  -0.000000000    
     1     6  0.1803487838E-01  -0.000000000    
     1     7  0.1668972326E-01  -0.000000000    
     1     8  0.1669328487E-01  -0.000000000    
     1     9  0.3144664362E-02  -0.000000000    
     1    10  0.3132149712E-02  -0.000000000    
     1    11  0.5571553060E-02  -0.000000000    
     1    12  0.5559280098E-02  -0.000000000    
     2     1  0.1120136961E-01  -0.000000000    
     2     2  0.1121212289E-01  -0.000000000    
     2     3  0.8570279755E-02  -0.000000000    
     2     4  0.8569069657E-02  -0.000000000    
     2     5  0.1803051204E-01  -0.000000000    
     2     6  0.1802902768E-01  -0.000000000    
     2     7  0.1668099505E-01  -0.000000000    
     2     8  0.1668414616E-01  -0.000000000    
     2     9  0.3133224591E-02  -0.000000000    
     2    10  0.3125281637E-02  -0.000000000    
     2    11  0.5564134954E-02  -0.000000000    
     2    12  0.5549602142E-02  -0.000000000    
     3     1  0.8565039759E-02  -0.000000000    
     3     2  0.8579063977E-02  -0.000000000    
     3     3  0.1121240717E-01  -0.000000000    
