 written on 19Jul2020 at 16:10:25 
   134.22225299999999       -1.0362302350000000E-014   0.0000000000000000     
   67.111126499999997        116.23988079999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        137.57225299999999     
          12
         147
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    2    1    1

   -7    3    0
    1    1   -0.46407631E-06 -0.22012572E-07
    2    1    0.51182197E-05  0.51231355E-07
    3    1    0.35863825E-05 -0.93714751E-07
    4    1    0.43535608E-05 -0.12451202E-07
    5    1   -0.23951556E-05 -0.16507903E-06
    6    1    0.82826585E-05 -0.12001530E-06
    7    1    0.72079365E-06 -0.29538205E-06
    8    1   -0.27971929E-05  0.96373800E-08
    9    1    0.44292604E-06  0.44226755E-06
   10    1   -0.73271602E-05 -0.28962522E-06
   11    1    0.89230785E-05  0.68467189E-07
   12    1    0.28989319E-05 -0.75542437E-07
    1    2   -0.49905886E-05 -0.68185823E-07
    2    2   -0.40602101E-06  0.52238148E-07
    3    2    0.46106551E-05 -0.92024953E-07
    4    2   -0.32927680E-05  0.78113308E-07
    5    2   -0.81086293E-05 -0.84281762E-07
    6    2   -0.23475201E-05  0.72346617E-07
    7    2   -0.23791468E-05 -0.12527232E-06
    8    2   -0.79856456E-06  0.40484491E-06
    9    2    0.68453829E-05  0.79985565E-07
   10    2    0.39130953E-06  0.91798491E-07
   11    2   -0.30180309E-05  0.38333471E-07
   12    2    0.92749326E-05  0.68389999E-07
    1    3    0.96558299E-06 -0.18433030E-06
    2    3    0.38612774E-05 -0.19540260E-07
    3    3   -0.27765318E-05 -0.87879165E-08
    4    3   -0.39872470E-05 -0.25592914E-06
    5    3    0.18455245E-05  0.12645755E-06
    6    3    0.24463697E-05  0.25796180E-06
    7    3    0.38081211E-06 -0.89878790E-07
    8    3    0.28565809E-05 -0.10319245E-06
    9    3    0.11407070E-05 -0.36631940E-06
   10    3   -0.12584618E-05 -0.27625519E-06
   11    3   -0.32073007E-05  0.11045393E-06
   12    3   -0.15423045E-05  0.22006381E-06
    1    4    0.40080969E-05  0.27968931E-08
    2    4   -0.10412272E-05  0.99760127E-07
    3    4    0.42665878E-05  0.11504888E-07
    4    4   -0.29391389E-05 -0.29245834E-07
    5    4    0.22475641E-05  0.21955875E-06
    6    4   -0.18691339E-05 -0.21018298E-06
    7    4   -0.29350316E-05  0.12696974E-06
    8    4    0.48000886E-07  0.37062318E-07
    9    4   -0.91049206E-06 -0.35753171E-06
   10    4   -0.84613469E-06  0.19194761E-06
   11    4   -0.18539415E-05 -0.15378077E-06
   12    4    0.31330189E-05 -0.15219182E-06
    1    5   -0.48203072E-05  0.61513311E-07
    2    5    0.95726567E-06 -0.10387942E-06
    3    5    0.73402025E-05 -0.93475648E-07
    4    5    0.14810107E-05  0.22437361E-07
    5    5    0.22044801E-05 -0.13705529E-06
    6    5   -0.30681169E-05  0.29740569E-06
    7    5    0.56259216E-05 -0.23525561E-07
    8    5   -0.34570309E-05  0.31998651E-07
    9    5   -0.48826279E-05 -0.34108584E-07
   10    5    0.54862377E-05 -0.18654934E-06
   11    5    0.41882695E-06 -0.20094038E-06
   12    5   -0.26357843E-05 -0.42419371E-06
    1    6   -0.11826362E-05 -0.44860676E-08
    2    6   -0.47452848E-05 -0.77107408E-07
    3    6    0.15939038E-05 -0.25198645E-06
    4    6   -0.76290602E-05  0.26401527E-06
    5    6    0.33209042E-05 -0.90040408E-07
    6    6    0.19786699E-05  0.20174394E-08
    7    6   -0.31038246E-05 -0.15135748E-06
    8    6   -0.56291549E-05 -0.76954580E-07
    9    6   -0.47833890E-05 -0.47644170E-07
   10    6   -0.49104343E-05 -0.21698527E-06
   11    6    0.25584568E-05  0.39776018E-06
   12    6    0.27467642E-06 -0.65983186E-06
    1    7    0.55334583E-07 -0.16650206E-06
