          31           4
          -3           1           0
     1     1  0.2094694628E-02  -0.000000000    
     1     2  0.2052170103E-02  -0.000000000    
     1     3  0.3103639540E-02  -0.000000000    
     1     4  0.3159721129E-02  -0.000000000    
     2     1  0.2106918807E-02  -0.000000000    
     2     2  0.2065776673E-02  -0.000000000    
     2     3  0.3152019684E-02  -0.000000000    
     2     4  0.3207004790E-02  -0.000000000    
     3     1  0.1092065474E-02  -0.000000000    
     3     2  0.1065600162E-02  -0.000000000    
     3     3  0.2095516323E-02  -0.000000000    
     3     4  0.2115034546E-02  -0.000000000    
     4     1  0.1058720671E-02  -0.000000000    
     4     2  0.1031329804E-02  -0.000000000    
     4     3  0.2043423923E-02  -0.000000000    
     4     4  0.2064163361E-02  -0.000000000    

          -3           2           0
     1     1  0.2082759426E-02  -0.000000000    
     1     2  0.2012436634E-02  -0.000000000    
     1     3  0.2355896987E-02  -0.000000000    
     1     4  0.2455184084E-02  -0.000000000    
     2     1  0.2146289917E-02  -0.000000000    
     2     2  0.2076647364E-02  -0.000000000    
     2     3  0.2451075361E-02  -0.000000000    
     2     4  0.2549769691E-02  -0.000000000    
     3     1  0.1516081450E-02  -0.000000000    
     3     2  0.1467059474E-02  -0.000000000    
     3     3  0.2084952677E-02  -0.000000000    
     3     4  0.2153302455E-02  -0.000000000    
     4     1  0.1458881438E-02  -0.000000000    
     4     2  0.1410345957E-02  -0.000000000    
     4     3  0.2006359130E-02  -0.000000000    
     4     4  0.2074957271E-02  -0.000000000    

          -2          -1           0
     1     1  0.2095516323E-02  -0.000000000    
     1     2  0.2115034546E-02  -0.000000000    
     1     3  0.3982003612E-02  -0.000000000    
     1     4  0.3943649712E-02  -0.000000000    
     2     1  0.2043423923E-02  -0.000000000    
     2     2  0.2064163361E-02  -0.000000000    
     2     3  0.3932449714E-02  -0.000000000    
     2     4  0.3892211590E-02  -0.000000000    
     3     1  0.7219535500E-03  -0.000000000    
     3     2  0.7266428852E-03  -0.000000000    
     3     3  0.2094694628E-02  -0.000000000    
     3     4  0.2052170103E-02  -0.000000000    
     4     1  0.7233257898E-03  -0.000000000    
     4     2  0.7262294639E-03  -0.000000000    
     4     3  0.2106918807E-02  -0.000000000    
     4     4  0.2065776673E-02  -0.000000000    

          -2           0           0
     1     1  0.4225901983E-02  -0.000000000    
     1     2  0.4216460403E-02  -0.000000000    
     1     3  0.5970979547E-02  -0.000000000    
     1     4  0.5978208185E-02  -0.000000000    
     2     1  0.4205435191E-02  -0.000000000    
     2     2  0.4197953348E-02  -0.000000000    
     2     3  0.5967880049E-02  -0.000000000    
     2     4  0.5976568501E-02  -0.000000000    
     3     1  0.2456944739E-02  -0.000000000    
     3     2  0.2457737470E-02  -0.000000000    
     3     3  0.4225901983E-02  -0.000000000    
     3     4  0.4216460403E-02  -0.000000000    
     4     1  0.2448506778E-02  -0.000000000    
     4     2  0.2448739373E-02  -0.000000000    
     4     3  0.4205435191E-02  -0.000000000    
     4     4  0.4197953348E-02  -0.000000000    

          -2           1           0
     1     1  0.5224202560E-02  -0.000000000    
     1     2  0.5154798473E-02  -0.000000000    
     1     3  0.5870368287E-02  -0.000000000    
     1     4  0.5975194010E-02  -0.000000000    
     2     1  0.5272300109E-02  -0.000000000    
     2     2  0.5206607721E-02  -0.000000000    
     2     3  0.5969999050E-02  -0.000000000    
     2     4  0.6078075616E-02  -0.000000000    
     3     1  0.3982003612E-02  -0.000000000    
     3     2  0.3943649712E-02  -0.000000000    
     3     3  0.5226039942E-02  -0.000000000    
     3     4  0.5282128381E-02  -0.000000000    
     4     1  0.3932449714E-02  -0.000000000    
     4     2  0.3892211590E-02  -0.000000000    
     4     3  0.5145030552E-02  -0.000000000    
     4     4  0.5204710807E-02  -0.000000000    

          -2           2           0
     1     1  0.4203909861E-02  -0.000000000    
     1     2  0.4105231190E-02  -0.000000000    
     1     3  0.3804920409E-02  -0.000000000    
     1     4  0.3938698732E-02  -0.000000000    
     2     1  0.4317614565E-02  -0.000000000    
     2     2  0.4218999569E-02  -0.000000000    
     2     3  0.3936639384E-02  -0.000000000    
     2     4  0.4070060781E-02  -0.000000000    
     3     1  0.4024616479E-02  -0.000000000    
     3     2  0.3942787639E-02  -0.000000000    
     3     3  0.4204957612E-02  -0.000000000    
     3     4  0.4323194767E-02  -0.000000000    
     4     1  0.3933647006E-02  -0.000000000    
     4     2  0.3849268182E-02  -0.000000000    
     4     3  0.4099786187E-02  -0.000000000    
     4     4  0.4217816619E-02  -0.000000000    

          -2           3           0
     1     1  0.2059915778E-02  -0.000000000    
     1     2  0.1979567245E-02  -0.000000000    
     1     3  0.1357815506E-02  -0.000000000    
     1     4  0.1462633220E-02  -0.000000000    
     2     1  0.2181259166E-02  -0.000000000    
     2     2  0.2098829344E-02  -0.000000000    
     2     3  0.1462633188E-02  -0.000000000    
     2     4  0.1569286405E-02  -0.000000000    
     3     1  0.2546622208E-02  -0.000000000    
     3     2  0.2454735538E-02  -0.000000000    
     3     3  0.2060286966E-02  -0.000000000    
     3     4  0.2182779205E-02  -0.000000000    
     4     1  0.2449613546E-02  -0.000000000    
     4     2  0.2360954831E-02  -0.000000000    
     4     3  0.1977315178E-02  -0.000000000    
     4     4  0.2097751992E-02  -0.000000000    

          -1          -2           0
     1     1  0.2084952677E-02  -0.000000000    
     1     2  0.2153302455E-02  -0.000000000    
     1     3  0.4024616479E-02  -0.000000000    
     1     4  0.3942787639E-02  -0.000000000    
     2     1  0.2006359130E-02  -0.000000000    
     2     2  0.2074957271E-02  -0.000000000    
     2     3  0.3933647006E-02  -0.000000000    
     2     4  0.3849268182E-02  -0.000000000    
     3     1  0.6913847926E-03  -0.000000000    
     3     2  0.7253254461E-03  -0.000000000    
     3     3  0.2082759426E-02  -0.000000000    
     3     4  0.2012436634E-02  -0.000000000    
     4     1  0.7237702106E-03  -0.000000000    
     4     2  0.7576712489E-03  -0.000000000    
     4     3  0.2146289917E-02  -0.000000000    
     4     4  0.2076647364E-02  -0.000000000    

          -1          -1           0
     1     1  0.5226039942E-02  -0.000000000    
     1     2  0.5282128381E-02  -0.000000000    
     1     3  0.8712566587E-02  -0.000000000    
     1     4  0.8627912544E-02  -0.000000000    
     2     1  0.5145030552E-02  -0.000000000    
     2     2  0.5204710807E-02  -0.000000000    
     2     3  0.8602520346E-02  -0.000000000    
     2     4  0.8381196578E-02  -0.000000000    
     3     1  0.3103639540E-02  -0.000000000    
     3     2  0.3159721129E-02  -0.000000000    
     3     3  0.5224202560E-02  -0.000000000    
     3     4  0.5154798473E-02  -0.000000000    
     4     1  0.3152019684E-02  -0.000000000    
     4     2  0.3207004790E-02  -0.000000000    
     4     3  0.5272300109E-02  -0.000000000    
     4     4  0.5206607721E-02  -0.000000000    

          -1           0           0
     1     1  0.9308128824E-02  -0.000000000    
     1     2  0.9249652268E-02  -0.000000000    
     1     3  0.1187288152E-01  -0.000000000    
     1     4  0.1197018997E-01  -0.000000000    
     2     1  0.9225565638E-02  -0.000000000    
     2     2  0.9087332856E-02  -0.000000000    
     2     3  0.1195145591E-01  -0.000000000    
     2     4  0.1214873176E-01  -0.000000000    
     3     1  0.5970979547E-02  -0.000000000    
     3     2  0.5978208185E-02  -0.000000000    
     3     3  0.9308128824E-02  -0.000000000    
     3     4  0.9249652268E-02  -0.000000000    
     4     1  0.5967880049E-02  -0.000000000    
     4     2  0.5976568501E-02  -0.000000000    
     4     3  0.9225565638E-02  -0.000000000    
     4     4  0.9087332856E-02  -0.000000000    

          -1           1           0
     1     1  0.9132657849E-02  -0.000000000    
     1     2  0.8997327683E-02  -0.000000000    
     1     3  0.8220398832E-02  -0.000000000    
     1     4  0.8610329174E-02  -0.000000000    
     2     1  0.9489067970E-02  -0.000000000    
     2     2  0.9251626282E-02  -0.000000000    
     2     3  0.8610329179E-02  -0.000000000    
     2     4  0.8883138869E-02  -0.000000000    
     3     1  0.8712566587E-02  -0.000000000    
     3     2  0.8627912544E-02  -0.000000000    
     3     3  0.9140676935E-02  -0.000000000    
     3     4  0.9501662647E-02  -0.000000000    
     4     1  0.8602520346E-02  -0.000000000    
     4     2  0.8381196578E-02  -0.000000000    
     4     3  0.8985835726E-02  -0.000000000    
     4     4  0.9242504476E-02  -0.000000000    

          -1           2           0
     1     1  0.5195577560E-02  -0.000000000    
     1     2  0.5086615549E-02  -0.000000000    
     1     3  0.3804919217E-02  -0.000000000    
     1     4  0.3936638232E-02  -0.000000000    
     2     1  0.5341215017E-02  -0.000000000    
     2     2  0.5234501557E-02  -0.000000000    
     2     3  0.3938697544E-02  -0.000000000    
     2     4  0.4070059634E-02  -0.000000000    
     3     1  0.6081417284E-02  -0.000000000    
     3     2  0.5974615916E-02  -0.000000000    
     3     3  0.5195577364E-02  -0.000000000    
     3     4  0.5341214822E-02  -0.000000000    
     4     1  0.5969482741E-02  -0.000000000    
     4     2  0.5868121023E-02  -0.000000000    
     4     3  0.5086615334E-02  -0.000000000    
     4     4  0.5234501343E-02  -0.000000000    

          -1           3           0
     1     1  0.2060288148E-02  -0.000000000    
     1     2  0.1977316464E-02  -0.000000000    
     1     3  0.9799492593E-03  -0.000000000    
     1     4  0.1060606052E-02  -0.000000000    
     2     1  0.2182780327E-02  -0.000000000    
     2     2  0.2097753213E-02  -0.000000000    
     2     3  0.1061510294E-02  -0.000000000    
     2     4  0.1145650505E-02  -0.000000000    
     3     1  0.3259371405E-02  -0.000000000    
     3     2  0.3155186411E-02  -0.000000000    
     3     3  0.2059912993E-02  -0.000000000    
     3     4  0.2181256511E-02  -0.000000000    
     4     1  0.3155186399E-02  -0.000000000    
     4     2  0.3052640927E-02  -0.000000000    
     4     3  0.1979564233E-02  -0.000000000    
     4     4  0.2098826474E-02  -0.000000000    

           0          -2           0
     1     1  0.4204957612E-02  -0.000000000    
     1     2  0.4323194767E-02  -0.000000000    
     1     3  0.6081417284E-02  -0.000000000    
     1     4  0.5974615916E-02  -0.000000000    
     2     1  0.4099786187E-02  -0.000000000    
     2     2  0.4217816619E-02  -0.000000000    
     2     3  0.5969482741E-02  -0.000000000    
     2     4  0.5868121023E-02  -0.000000000    
     3     1  0.2355896987E-02  -0.000000000    
     3     2  0.2455184084E-02  -0.000000000    
     3     3  0.4203909861E-02  -0.000000000    
     3     4  0.4105231190E-02  -0.000000000    
     4     1  0.2451075361E-02  -0.000000000    
     4     2  0.2549769691E-02  -0.000000000    
     4     3  0.4317614565E-02  -0.000000000    
     4     4  0.4218999569E-02  -0.000000000    

           0          -1           0
     1     1  0.9140676935E-02  -0.000000000    
     1     2  0.9501662647E-02  -0.000000000    
     1     3  0.1229801882E-01  -0.000000000    
     1     4  0.1194946100E-01  -0.000000000    
     2     1  0.8985835726E-02  -0.000000000    
     2     2  0.9242504476E-02  -0.000000000    
     2     3  0.1194946100E-01  -0.000000000    
     2     4  0.1174631834E-01  -0.000000000    
     3     1  0.5870368287E-02  -0.000000000    
     3     2  0.5975194010E-02  -0.000000000    
     3     3  0.9132657849E-02  -0.000000000    
     3     4  0.8997327683E-02  -0.000000000    
     4     1  0.5969999050E-02  -0.000000000    
     4     2  0.6078075616E-02  -0.000000000    
     4     3  0.9489067970E-02  -0.000000000    
     4     4  0.9251626282E-02  -0.000000000    

           0           0           0
     1     1  0.1443314438E-01  -0.000000000    
     1     2  0.1405053826E-01  -0.000000000    
     1     3  0.1187288152E-01  -0.000000000    
     1     4  0.1195145591E-01  -0.000000000    
     2     1  0.1405053826E-01  -0.000000000    
     2     2  0.1443314439E-01  -0.000000000    
     2     3  0.1197018997E-01  -0.000000000    
     2     4  0.1214873176E-01  -0.000000000    
     3     1  0.1187288152E-01  -0.000000000    
     3     2  0.1197018997E-01  -0.000000000    
     3     3  0.1443314439E-01  -0.000000000    
     3     4  0.1405053826E-01  -0.000000000    
     4     1  0.1195145591E-01  -0.000000000    
     4     2  0.1214873176E-01  -0.000000000    
     4     3  0.1405053826E-01  -0.000000000    
     4     4  0.1443314438E-01  -0.000000000    

           0           1           0
     1     1  0.9140676887E-02  -0.000000000    
     1     2  0.8985835672E-02  -0.000000000    
     1     3  0.5870368118E-02  -0.000000000    
     1     4  0.5969998876E-02  -0.000000000    
     2     1  0.9501662601E-02  -0.000000000    
     2     2  0.9242504426E-02  -0.000000000    
     2     3  0.5975193843E-02  -0.000000000    
     2     4  0.6078075445E-02  -0.000000000    
     3     1  0.1229801882E-01  -0.000000000    
     3     2  0.1194946100E-01  -0.000000000    
     3     3  0.9132657802E-02  -0.000000000    
     3     4  0.9489067926E-02  -0.000000000    
     4     1  0.1194946100E-01  -0.000000000    
     4     2  0.1174631834E-01  -0.000000000    
     4     3  0.8997327628E-02  -0.000000000    
     4     4  0.9251626231E-02  -0.000000000    

           0           2           0
     1     1  0.4204956582E-02  -0.000000000    
     1     2  0.4099785073E-02  -0.000000000    
     1     3  0.2355897563E-02  -0.000000000    
     1     4  0.2451075935E-02  -0.000000000    
     2     1  0.4323193751E-02  -0.000000000    
     2     2  0.4217815519E-02  -0.000000000    
     2     3  0.2455184628E-02  -0.000000000    
     2     4  0.2549770234E-02  -0.000000000    
     3     1  0.6081417124E-02  -0.000000000    
     3     2  0.5969482574E-02  -0.000000000    
     3     3  0.4203908802E-02  -0.000000000    
     3     4  0.4317613545E-02  -0.000000000    
     4     1  0.5974615743E-02  -0.000000000    
     4     2  0.5868120842E-02  -0.000000000    
     4     3  0.4105230079E-02  -0.000000000    
     4     4  0.4218998499E-02  -0.000000000    

           1          -3           0
     1     1  0.2060286966E-02  -0.000000000    
     1     2  0.2182779205E-02  -0.000000000    
     1     3  0.3259371405E-02  -0.000000000    
     1     4  0.3155186411E-02  -0.000000000    
     2     1  0.1977315178E-02  -0.000000000    
     2     2  0.2097751992E-02  -0.000000000    
     2     3  0.3155186399E-02  -0.000000000    
     2     4  0.3052640927E-02  -0.000000000    
     3     1  0.9799492310E-03  -0.000000000    
     3     2  0.1061510286E-02  -0.000000000    
     3     3  0.2059915778E-02  -0.000000000    
     3     4  0.1979567245E-02  -0.000000000    
     4     1  0.1060605973E-02  -0.000000000    
     4     2  0.1145650445E-02  -0.000000000    
     4     3  0.2181259166E-02  -0.000000000    
     4     4  0.2098829344E-02  -0.000000000    

           1          -2           0
     1     1  0.5195577364E-02  -0.000000000    
     1     2  0.5341214822E-02  -0.000000000    
     1     3  0.6081417124E-02  -0.000000000    
     1     4  0.5969482574E-02  -0.000000000    
     2     1  0.5086615334E-02  -0.000000000    
     2     2  0.5234501343E-02  -0.000000000    
     2     3  0.5974615743E-02  -0.000000000    
     2     4  0.5868120842E-02  -0.000000000    
     3     1  0.3804920409E-02  -0.000000000    
     3     2  0.3938698732E-02  -0.000000000    
     3     3  0.5195577560E-02  -0.000000000    
     3     4  0.5086615549E-02  -0.000000000    
     4     1  0.3936639384E-02  -0.000000000    
     4     2  0.4070060781E-02  -0.000000000    
     4     3  0.5341215017E-02  -0.000000000    
     4     4  0.5234501557E-02  -0.000000000    

           1          -1           0
     1     1  0.9132657802E-02  -0.000000000    
     1     2  0.9489067926E-02  -0.000000000    
     1     3  0.8712566596E-02  -0.000000000    
     1     4  0.8602520349E-02  -0.000000000    
     2     1  0.8997327628E-02  -0.000000000    
     2     2  0.9251626231E-02  -0.000000000    
     2     3  0.8627912543E-02  -0.000000000    
     2     4  0.8381196568E-02  -0.000000000    
     3     1  0.8220398832E-02  -0.000000000    
     3     2  0.8610329174E-02  -0.000000000    
     3     3  0.9140676887E-02  -0.000000000    
     3     4  0.8985835672E-02  -0.000000000    
     4     1  0.8610329179E-02  -0.000000000    
     4     2  0.8883138869E-02  -0.000000000    
     4     3  0.9501662601E-02  -0.000000000    
     4     4  0.9242504426E-02  -0.000000000    

           1           0           0
     1     1  0.9308128876E-02  -0.000000000    
     1     2  0.9225565686E-02  -0.000000000    
     1     3  0.5970979728E-02  -0.000000000    
     1     4  0.5967880219E-02  -0.000000000    
     2     1  0.9249652320E-02  -0.000000000    
     2     2  0.9087332902E-02  -0.000000000    
     2     3  0.5978208354E-02  -0.000000000    
     2     4  0.5976568661E-02  -0.000000000    
     3     1  0.1187288152E-01  -0.000000000    
     3     2  0.1195145591E-01  -0.000000000    
     3     3  0.9308128876E-02  -0.000000000    
     3     4  0.9225565686E-02  -0.000000000    
     4     1  0.1197018997E-01  -0.000000000    
     4     2  0.1214873176E-01  -0.000000000    
     4     3  0.9249652320E-02  -0.000000000    
     4     4  0.9087332902E-02  -0.000000000    

           1           1           0
     1     1  0.5226039740E-02  -0.000000000    
     1     2  0.5145030336E-02  -0.000000000    
     1     3  0.3103639551E-02  -0.000000000    
     1     4  0.3152019678E-02  -0.000000000    
     2     1  0.5282128187E-02  -0.000000000    
     2     2  0.5204710600E-02  -0.000000000    
     2     3  0.3159721135E-02  -0.000000000    
     2     4  0.3207004779E-02  -0.000000000    
     3     1  0.8712566596E-02  -0.000000000    
     3     2  0.8602520349E-02  -0.000000000    
