 written on 19Jul2020 at 14:14:25 
   134.22225299999999       -1.0362302350000000E-014   0.0000000000000000     
   67.111126499999997        116.23988079999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        137.57225299999999     
           4
         581
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1

  -15    7    0
    1    1   -0.19449726E-07 -0.32223799E-09
    2    1   -0.41888933E-08  0.21543606E-07
    3    1   -0.10504121E-07  0.53136516E-13
    4    1   -0.63939460E-09 -0.24646046E-09
    1    2    0.40202454E-08 -0.22985165E-07
    2    2   -0.17915691E-07  0.62553676E-09
    3    2    0.63927254E-09 -0.24608674E-09
    4    2   -0.10386388E-07 -0.63760713E-13
    1    3   -0.13720879E-07  0.24034716E-09
    2    3    0.19224961E-08  0.13886190E-09
    3    3   -0.18244543E-07 -0.77548719E-09
    4    3   -0.40487254E-08 -0.22921917E-07
    1    4   -0.23692415E-09  0.13886359E-09
    2    4   -0.12747674E-07 -0.24036089E-09
    3    4    0.38236991E-08  0.21605476E-07
    4    4   -0.19104826E-07  0.47278455E-09

  -15    8    0
    1    1   -0.18792536E-07 -0.73064989E-09
    2    1   -0.43642651E-08  0.22053023E-07
    3    1   -0.13700732E-07 -0.15882552E-09
    4    1   -0.98513724E-09 -0.91440358E-10
    1    2    0.35069185E-08 -0.22475669E-07
    2    2   -0.18557384E-07  0.10334931E-08
    3    2    0.10682472E-08 -0.91638761E-10
    4    2   -0.13652785E-07  0.15876128E-09
    1    3   -0.11405553E-07  0.59013161E-09
    2    3    0.25120271E-08  0.24935365E-08
    3    3   -0.18225552E-07 -0.10124063E-08
    4    3   -0.34831210E-08 -0.22314697E-07
    1    4   -0.33958642E-09 -0.26646282E-08
    2    4   -0.11788821E-07 -0.36061911E-09
    3    4    0.47271108E-08  0.22214597E-07
    4    4   -0.19138650E-07  0.70996560E-09

  -14    5    0
    1    1   -0.18971478E-07  0.10698940E-07
    2    1    0.11185242E-07  0.27801463E-07
    3    1   -0.12481039E-07 -0.27242317E-12
    4    1    0.38649076E-08 -0.50123342E-09
    1    2   -0.12050657E-07 -0.29514710E-07
    2    2   -0.17505505E-07  0.12557097E-07
    3    2   -0.38646983E-08 -0.49840804E-09
    4    2   -0.10673342E-07 -0.25684146E-12
    1    3   -0.15639861E-07  0.37485172E-08
    2    3    0.50324087E-08 -0.42634463E-08
    3    3   -0.16379807E-07 -0.12274411E-07
    4    3    0.12910033E-07 -0.29581097E-07
    1    4   -0.27235724E-08  0.55474587E-08
    2    4   -0.12738806E-07  0.25426691E-08
    3    4   -0.12799285E-07  0.27737646E-07
    4    4   -0.16069704E-07 -0.10981234E-07

  -14    6    0
    1    1   -0.22128900E-07  0.50276318E-08
    2    1    0.31496248E-08  0.30606228E-07
    3    1   -0.12928497E-07  0.18410356E-08
    4    1    0.17887697E-08 -0.11501734E-08
    1    2   -0.36825509E-08 -0.31971376E-07
    2    2   -0.21079172E-07  0.64183491E-08
    3    2   -0.13522782E-08  0.10882554E-09
    4    2   -0.11850220E-07  0.23327411E-08
    1    3   -0.16746523E-07  0.23719674E-08
    2    3    0.37690624E-08  0.13624910E-09
    3    3   -0.19961636E-07 -0.64274893E-08
    4    3    0.52397432E-08 -0.32030981E-07
    1    4   -0.75345906E-09  0.83140744E-09
    2    4   -0.14113815E-07  0.10324544E-08
    3    4   -0.35674214E-08  0.30543832E-07
    4    4   -0.20632879E-07 -0.50178900E-08

  -14    7    0
    1    1   -0.22777096E-07  0.15405133E-08
    2    1    0.58699578E-09  0.31108896E-07
    3    1   -0.13502296E-07  0.14064110E-08
    4    1    0.72397107E-09 -0.33333092E-08
    1    2   -0.88892365E-09 -0.32750777E-07
    2    2   -0.21600734E-07  0.55255502E-08
    3    2   -0.13171261E-09  0.28111030E-08
    4    2   -0.13065186E-07  0.20551142E-08
    1    3   -0.16077748E-07 -0.94864263E-09
    2    3    0.41551592E-08  0.68593339E-09
    3    3   -0.21764185E-07 -0.52401472E-08
    4    3    0.11712645E-08 -0.33245078E-07
    1    4   -0.36736352E-09 -0.97356765E-11
    2    4   -0.14782526E-07 -0.24564596E-08
    3    4   -0.30347871E-09  0.30615000E-07
    4    4   -0.22613857E-07 -0.18256783E-08

  -14    8    0
    1    1   -0.21189261E-07  0.47264355E-08
    2    1    0.45319752E-08  0.31049371E-07
    3    1   -0.13431052E-07 -0.21191254E-08
    4    1    0.76493116E-09  0.29223235E-08
    1    2   -0.42773548E-08 -0.31526417E-07
    2    2   -0.19405462E-07  0.67190887E-08
    3    2   -0.90267317E-10 -0.32230180E-08
    4    2   -0.13136645E-07 -0.13424710E-08
    1    3   -0.14463659E-07 -0.22883950E-08
    2    3    0.57116054E-08  0.51061992E-08
    3    3   -0.21110728E-07 -0.66617612E-08
    4    3    0.37369781E-08 -0.31550368E-07
    1    4   -0.20449461E-08 -0.47035152E-08
